FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2019,196,395.57,288.00,0.00,129.60
2019,197,288.00,288.00,0.00,22.03
2019,198,363.89,288.00,0.00,97.92
2019,199,381.17,288.00,0.00,115.20
2019,200,395.57,288.00,0.00,129.60
2019,201,300.00,300.00,0.00,22.95
2019,202,379.05,300.00,0.00,102.00
2019,203,397.05,300.00,0.00,120.00
2019,204,412.05,300.00,0.00,135.00
2019,205,300.00,300.00,0.00,22.95
2019,206,379.05,300.00,0.00,102.00
2019,207,397.05,300.00,0.00,120.00
2019,208,412.05,300.00,0.00,135.00
2019,209,312.00,312.00,0.00,23.87
2019,210,394.21,312.00,0.00,106.08
2019,211,412.93,312.00,0.00,124.80
2019,212,428.53,312.00,0.00,140.40
2019,213,312.00,312.00,0.00,23.87
2019,214,394.21,312.00,0.00,106.08
2019,215,412.93,312.00,0.00,124.80
2019,216,428.53,312.00,0.00,140.40
2019,217,324.00,324.00,0.00,24.79
2019,218,409.37,324.00,0.00,110.16
2019,219,428.81,324.00,0.00,129.60
2019,220,445.01,324.00,0.00,145.80
2019,221,324.00,324.00,0.00,24.79
2019,222,409.37,324.00,0.00,110.16
2019,223,428.81,324.00,0.00,129.60
2019,224,445.01,324.00,0.00,145.80
2019,225,336.00,336.00,0.00,25.70
2019,226,424.54,336.00,0.00,114.24
2019,227,444.70,336.00,0.00,134.40
2019,228,461.50,336.00,0.00,151.20
2019,229,336.00,336.00,0.00,25.70
2019,230,424.54,336.00,0.00,114.24
2019,231,444.70,336.00,0.00,134.40
2019,232,461.50,336.00,0.00,151.20
2019,233,348.00,348.00,0.00,26.62
2019,234,439.70,348.00,0.00,118.32
2019,235,460.58,348.00,0.00,139.20
2019,236,477.98,348.00,0.00,156.60
2019,237,348.00,348.00,0.00,26.62
2019,238,439.70,348.00,0.00,118.32
2019,239,460.58,348.00,0.00,139.20
2019,240,477.98,348.00,0.00,156.60
2019,241,360.00,360.00,0.00,27.54
2019,242,454.86,360.00,0.00,122.40
2019,243,476.46,360.00,0.00,144.00
2019,244,494.46,360.00,0.00,162.00
2019,245,360.00,360.00,0.00,27.54
2019,246,454.86,360.00,0.00,122.40
2019,247,476.46,360.00,0.00,144.00
2019,248,494.46,360.00,0.00,162.00
2019,249,372.00,372.00,0.00,28.46
2019,250,470.02,372.00,0.00,126.48
2019,251,492.34,372.00,0.00,148.80
2019,252,510.94,372.00,0.00,167.40
2019,253,372.00,372.00,0.00,28.46
2019,254,470.02,372.00,0.00,126.48
2019,255,492.34,372.00,0.00,148.80
2019,256,510.94,372.00,0.00,167.40
2019,257,384.00,384.00,0.00,29.38
2019,258,485.18,384.00,0.00,130.56
2019,259,508.22,384.00,0.00,153.60
2019,260,527.42,384.00,0.00,172.80
2019,261,384.00,384.00,0.00,29.38
2019,262,485.18,384.00,0.00,130.56
2019,263,508.22,384.00,0.00,153.60
2019,264,527.42,384.00,0.00,172.80
2019,265,396.00,396.00,0.00,30.29
2019,266,500.35,396.00,0.00,134.64
2019,267,524.11,396.00,0.00,158.40
2019,268,543.91,396.00,0.00,178.20
2019,269,396.00,396.00,0.00,30.29
2019,270,500.35,396.00,0.00,134.64
2019,271,524.11,396.00,0.00,158.40
2019,272,543.91,396.00,0.00,178.20
2019,273,408.00,408.00,0.00,31.21
2019,274,515.51,408.00,0.00,138.72
2019,275,539.99,408.00,0.00,163.20
2019,276,560.39,408.00,0.00,183.60
2019,277,408.00,408.00,0.00,31.21
2019,278,515.51,408.00,0.00,138.72
2019,279,539.99,408.00,0.00,163.20
2019,280,560.39,408.00,0.00,183.60
2019,281,420.00,420.00,0.00,32.13
2019,282,530.67,420.00,0.00,142.80
2019,283,555.87,420.00,0.00,168.00
2019,284,576.87,420.00,0.00,189.00
2019,285,420.00,420.00,0.00,32.13
2019,286,530.67,420.00,0.00,142.80
2019,287,555.87,420.00,0.00,168.00
2019,288,576.87,420.00,0.00,189.00
2019,289,432.00,432.00,0.00,33.05
2019,290,545.83,432.00,0.00,146.88
2019,291,571.75,432.00,0.00,172.80
2019,292,593.35,432.00,0.00,194.40
2019,293,432.00,432.00,0.00,33.05
2019,294,545.83,432.00,0.00,146.88
2019,295,571.75,432.00,0.00,172.80
2019,296,593.35,432.00,0.00,194.40
2019,297,444.00,444.00,0.00,33.97
2019,298,560.99,444.00,0.00,150.96
2019,299,587.63,444.00,0.00,177.60
2019,300,609.83,444.00,0.00,199.80
2019,301,444.00,444.00,0.00,33.97
2019,302,560.99,444.00,0.00,150.96
2019,303,587.63,444.00,0.00,177.60
2019,304,609.83,444.00,0.00,199.80
2019,305,456.00,456.00,0.00,34.88
2019,306,576.16,456.00,0.00,155.04
2019,307,603.52,456.00,0.00,182.40
2019,308,626.32,456.00,0.00,205.20
2019,309,456.00,456.00,0.00,34.88
2019,310,576.16,456.00,0.00,155.04
2019,311,603.52,456.00,0.00,182.40
2019,312,626.32,456.00,0.00,205.20
2019,313,468.00,468.00,0.00,35.80
2019,314,591.32,468.00,0.00,159.12
2019,315,619.40,468.00,0.00,187.20
2019,316,642.80,468.00,0.00,210.60
2019,317,468.00,468.00,0.00,35.80
2019,318,591.32,468.00,0.00,159.12
2019,319,619.40,468.00,0.00,187.20
2019,320,642.80,468.00,0.00,210.60
2019,321,480.00,480.00,0.00,36.72
2019,322,606.48,480.00,0.00,163.20
2019,323,635.28,480.00,0.00,192.00
2019,324,659.28,480.00,0.00,216.00
2019,325,480.00,480.00,0.00,36.72
2019,326,606.48,480.00,0.00,163.20
2019,327,635.28,480.00,0.00,192.00
2019,328,659.28,480.00,0.00,216.00
2019,329,492.00,492.00,0.00,37.64
2019,330,621.64,492.00,0.00,167.28
2019,331,651.16,492.00,0.00,196.80
2019,332,675.76,492.00,0.00,221.40
2019,333,492.00,492.00,0.00,37.64
2019,334,621.64,492.00,0.00,167.28
2019,335,651.16,492.00,0.00,196.80
2019,336,675.76,492.00,0.00,221.40
2019,337,504.00,504.00,0.00,38.56
2019,338,636.80,504.00,0.00,171.36
2019,339,667.04,504.00,0.00,201.60
2019,340,692.24,504.00,0.00,226.80
2019,341,504.00,504.00,0.00,38.56
2019,342,636.80,504.00,0.00,171.36
2019,343,667.04,504.00,0.00,201.60
2019,344,692.24,504.00,0.00,226.80
2019,345,516.00,516.00,0.00,39.47
2019,346,651.97,516.00,0.00,175.44
2019,347,682.93,516.00,0.00,206.40
2019,348,708.73,516.00,0.00,232.20
2019,349,516.00,516.00,0.00,39.47
2019,350,651.97,516.00,0.00,175.44
2019,351,682.93,516.00,0.00,206.40
2019,352,708.73,516.00,0.00,232.20
2019,353,528.00,528.00,0.00,40.39
2019,354,667.13,528.00,0.00,179.52
2019,355,698.81,528.00,0.00,211.20
2019,356,725.21,528.00,0.00,237.60
2019,357,528.00,528.00,0.00,40.39
2019,358,667.13,528.00,0.00,179.52
2019,359,698.81,528.00,0.00,211.20
2019,360,725.21,528.00,0.00,237.60
2019,361,540.00,540.00,0.00,41.31
2019,362,682.29,540.00,0.00,183.60
2019,363,714.69,540.00,0.00,216.00
2019,364,741.69,540.00,0.00,243.00
2019,365,540.00,540.00,0.00,41.31
2019,366,682.29,540.00,0.00,183.60
2019,367,714.69,540.00,0.00,216.00
2019,368,741.69,540.00,0.00,243.00
2019,369,552.00,552.00,0.00,42.23
2019,370,697.45,552.00,0.00,187.68
2019,371,730.57,552.00,0.00,220.80
2019,372,758.17,552.00,0.00,248.40
2019,373,552.00,552.00,0.00,42.23
2019,374,697.45,552.00,0.00,187.68
2019,375,730.57,552.00,0.00,220.80
2019,376,758.17,552.00,0.00,248.40
2019,377,564.00,564.00,0.00,43.15
2019,378,712.61,564.00,0.00,191.76
2019,379,746.45,564.00,0.00,225.60
2019,380,774.65,564.00,0.00,253.80
2019,381,564.00,564.00,0.00,43.15
2019,382,712.61,564.00,0.00,191.76
2019,383,746.45,564.00,0.00,225.60
2019,384,774.65,564.00,0.00,253.80
2019,385,576.00,576.00,0.00,44.06
2019,386,727.78,576.00,0.00,195.84
2019,387,762.34,576.00,0.00,230.40
2019,388,791.14,576.00,0.00,259.20
2019,389,576.00,576.00,0.00,44.06
2019,390,727.78,576.00,0.00,195.84
2019,391,762.34,576.00,0.00,230.40
2019,392,791.14,576.00,0.00,259.20
2019,393,588.00,588.00,0.00,44.98
2019,394,742.94,588.00,0.00,199.92
2019,395,778.22,588.00,0.00,235.20
2019,396,807.62,588.00,0.00,264.60
2019,397,588.00,588.00,0.00,44.98
2019,398,742.94,588.00,0.00,199.92
2019,399,778.22,588.00,0.00,235.20
2019,400,807.62,588.00,0.00,264.60
2019,401,600.00,600.00,0.00,45.90
2019,402,758.10,600.00,0.00,204.00
2019,403,794.10,600.00,0.00,240.00
2019,404,824.10,600.00,0.00,270.00
2019,405,600.00,600.00,0.00,45.90
2019,406,758.10,600.00,0.00,204.00
2019,407,794.10,600.00,0.00,240.00
