size,income,cum_sum,grouping
1,19098,14997,group
1,19110,15010,group
1,19132,15047,group
1,19134,15054,group
1,19150,15092,group
1,19155,15104,group
1,19197,15112,group
1,19200,15170,group
1,19201,15176,group
1,19236,15241,group
1,19259,15270,group
1,19300,15288,group
1,19339,15316,group
1,19361,15329,group
1,19400,15340,group
1,19405,15426,group
1,19487,15442,group
1,19500,15450,group
1,19508,15460,group
1,19571,15472,group
1,19600,15484,group
1,19650,15508,group
1,19673,15569,group
1,19676,15582,group
1,19700,15593,group
1,19729,15607,group
1,19782,15623,group
1,19813,15634,group
1,19856,15650,group
1,19880,15746,group
1,19915,15764,group
1,19992,15778,group
1,20000,15825,group
1,20018,15838,group
1,20097,15845,group
1,20202,15866,group
1,20222,15876,group
1,20300,15908,group
1,20308,15921,group
1,20324,15958,group
1,20373,16024,group
1,20400,16036,group
1,20426,16179,group
1,20477,16200,group
1,20500,16222,group
1,20501,16254,group
1,20623,16261,group
1,20630,16275,group
1,20684,16445,group
1,20708,16532,group
1,20729,16625,group
1,20835,16643,group
1,20891,16659,group
1,20900,16672,group
1,20939,16685,group
1,21000,16838,group
1,21039,16867,group
1,21044,16950,group
1,21097,16982,group
1,21122,16996,group
1,21141,17013,group
1,21243,17030,group
1,21300,17042,group
1,21304,17051,group
1,21380,17067,group
1,21433,17083,group
1,21447,17124,group
1,21511,17152,group
1,21537,17167,group
1,21615,17172,group
1,21635,17192,group
1,21718,17219,group
1,21754,17263,group
1,21800,17270,group
1,21856,17290,group
1,21886,17302,group
1,22000,17325,group
1,22096,17369,group
1,22100,17377,group
1,22130,17389,group
1,22132,17402,group
1,22158,17424,group
1,22202,17437,group
1,22235,17497,group
1,22338,17502,group
1,22365,17559,group
1,22469,17587,group
1,22545,17601,group
1,22572,17630,group
1,22620,17643,group
1,22623,17657,group
1,22700,17680,group
1,22710,17685,group
1,22752,17736,group
1,22779,17843,group
1,22800,17853,group
1,22959,17879,group
1,23000,17943,group
1,23081,17987,group
1,23090,18001,group
1,23149,18095,group
1,23254,18118,group
1,23359,18127,group
1,23388,18148,group
1,23400,18159,group
1,23500,18217,group
1,23579,18284,group
1,23600,18298,group
1,23607,18325,group
1,23786,18479,group
1,23800,18507,group
1,23815,18514,group
1,23900,18530,group
1,23941,18547,group
1,23990,18560,group
1,24000,18682,group
1,24097,18695,group
1,24120,18715,group
1,24201,18780,group
1,24211,18799,group
1,24229,18820,group
1,24306,18828,group
1,24400,18841,group
1,24436,18925,group
1,24500,18948,group
1,24511,19017,group
1,24600,19031,group
1,24700,19043,group
1,24716,19075,group
1,24746,19090,group
1,24777,19104,group
1,24800,19167,group
1,24820,19213,group
1,24832,19228,group
1,24850,19334,group
1,25000,19545,group
1,25057,19570,group
1,25124,19592,group
1,25234,19599,group
1,25253,19708,group
1,25300,19747,group
1,25338,19757,group
1,25400,19783,group
1,25430,19803,group
1,25500,19814,group
1,25533,19853,group
1,25544,19878,group
1,25674,19917,group
1,25855,20038,group
1,25884,20057,group
1,25885,20108,group
1,25886,20132,group
1,25958,20139,group
1,25973,20153,group
1,25989,20181,group
1,26000,20272,group
1,26095,20286,group
1,26145,20318,group
1,26200,20340,group
1,26268,20347,group
1,26300,20361,group
1,26305,20433,group
1,26400,20479,group
1,26452,20496,group
1,26516,20535,group
1,26554,20560,group
1,26621,20573,group
1,26726,20586,group
1,26800,20596,group
1,26817,20612,group
1,26889,20906,group
1,26921,20917,group
1,26962,20948,group
1,26992,20966,group
1,27000,21073,group
1,27024,21081,group
1,27128,21094,group
1,27167,21109,group
1,27252,21122,group
1,27300,21141,group
1,27335,21158,group
1,27357,21246,group
1,27438,21259,group
1,27463,21283,group
1,27542,21295,group
1,27568,21314,group
1,27575,21356,group
1,27606,21398,group
1,27673,21405,group
1,27716,21418,group
1,27800,21438,group
1,27923,21459,group
1,27956,21495,group
1,27989,21535,group
1,28000,21537,group
1,28086,21543,group
1,28100,21566,group
1,28130,21578,group
1,28180,21590,group
1,28199,21638,group
1,28233,21676,group
1,28400,21712,group
1,28410,21738,group
1,28544,21749,group
1,28577,21760,group
1,28595,21769,group
1,28596,21855,group
1,28650,21867,group
1,28725,21897,group
1,28750,21910,group
1,28760,21928,group
1,28801,21937,group
1,28898,21949,group
1,28957,21979,group
1,28992,22072,group
1,29000,22126,group
1,29106,22134,group
1,29107,22149,group
1,29164,22165,group
1,29205,22171,group
1,29311,22185,group
1,29371,22192,group
1,29406,22214,group
